name,price,currency,availability,roast_level,process,tasting_notes,description,product_id,product_handle,url
Classic Bold,340.0,INR,http://schema.org/InStock,,,,"Our signature Classic Bold cold brew brings out delicious nutty and chocolatey notes. The Classic Bold flavour is the one we've always served in our cafes, and has been one of our most popular cold brews with its heavy body, low acidity and bittersweet finish. Drink as is or with milk. 
All our cold brews use 100% Arabica coffee beans,are sourced directly from India’s best farms and are roasted with precision for a unique flavour.
Ingredients:
Filtered water, 100% Arabica coffee
Nutritional Values (per 100ml):
Energy 12 cal,Carbs 1.2g, Natural Sugar 1.0g, Protein 0.9g, Total Fat 0.4g
Each can is 250ml.
This product contains no added sugars.
You can purchase this as a pack of 2 or 6. Save 12% when you purchase a pack of 6!",6619680735287,classic-bold-cold-brew-cans,/collections/you-may-also-like-1/products/classic-bold-cold-brew-cans
Half - Caff,450.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Our first-ever single-origin, specialty Half-Caff comes from Yelnoorkhan Estate. We selected their S795, washed processed coffee to create a complex and distinctive cup.  
To reduce caffeine by 55%, we used CO₂ decaffeination, a chemical-free, minimal-waste generating method that is conscious in its water and energy usage. We chose it because the other decaffeination methods available to us in India came with a catch. In removing all the caffeine, they also took away the depth that makes a cup memorable. Adding artificial flavours was not something we wanted to do, never mind the fact that many of these methods also used far too much water.  
The result is a cup with a gentler kick that holds its own in terms of flavour. You’ll first notice chocolate biscuits on the nose as well as your palate. A silky mouthfeel then reveals notes of roasted hazelnuts and malt, followed by a long, nutty finish. 
For the best experience, brew this coffee using an espresso machine. It tastes great black and is equally suited to milk-based beverages.
Recommended Resting Period: 5 Days
Note: This coffee pack is a special release with limited availability and, therefore, cannot be included in a subscription plan.",7376323903543,half-caff,/collections/roasted-and-ground-coffee-beans/products/half-caff
V60 Filter Paper/(V01& V02),420.0,INR,http://schema.org/OutOfStock,,,,"Our genuine pack of micro filters, made especially for the V60 Pour Over dripper, providing an even and continuous flow for brewing your coffee.

Available in sizes 02 (brews 1-4 cups) and 01 (brews 1-2 cups).


Each bag comes with 100 filters.

 ",6929179017271,v60-filter-paper-v01-v02,/products/v60-filter-paper-v01-v02
Kalledevarapura Estate - Pulp Sun Dried,700.0,INR,http://schema.org/InStock,Medium Roast,,,"Our all-time favourite pulp sun-dried coffee from Kalledevarapura Estate is back! This year’s harvest of Coffee beans boasts a medium body and a sweet mouthfeel, perfect for brewing as an espresso, a pour-over, with a Moka Pot, or an AeroPress. Enjoy the rich notes of brown sugar, roasted almond, and raisin—an ideal way to start your day!
",436795904,kalledevarapura-pulp-sun-dried,/collections/roasted-and-ground-coffee-beans/products/kalledevarapura-pulp-sun-dried
Attikan Estate | Medium-Dark Roast - Easy Pour,300.0,INR,http://schema.org/OutOfStock,,,,"Nutty + Chocolatey
If you like your coffee a little dark, but not too much, this one is perfect for you. It has low acidity and flavour notes of figs, dark chocolate and roasted almonds. The delicious nuttiness of this medium-dark roast hits all the right notes, whether enjoyed with milk or black.
 
Choose from our pack of 5 or pack of 10 Easy Pour boxes.",4459721719863,attikan-estate-easy-pour-coffee-sachets,/collections/you-may-also-like-1/products/attikan-estate-easy-pour-coffee-sachets
St. Joseph Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Meet the first coffee from our newest partner farm, run by a community of Jesuit priests whose stewardship of the land spans generations. 
A washed coffee roasted medium-dark, it opens with warm brown spice aromatics. Each sip carries a syrupy mouthfeel and reminds of grapefruit, clove, and toffee. Its medium-high body gives the cup a comforting depth, complemented by a chocolatey aftertaste. 
Our roasters recommend brewing it as an espresso, or using an AeroPress, Moka Pot, or French Press. A versatile brew, it pairs well with milk, and holds its own black.
Recommended Resting Period: 10 Days",7284647002167,st-joseph-estate,/collections/roasted-and-ground-coffee-beans/products/st-joseph-estate
Cold Brew Blend Bold,650.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Our Bold Cold Brew Blend, Arabica coffee beans that are roasted medium-dark, brews a full- bodied glass of refreshing cold brew. With notes of dark chocolate, toffee, and roasted nuts, this blend has very little acidity and a bittersweet finish. ",9516855880,cold-brew-blend-dark-roast,/collections/roasted-and-ground-coffee-beans/products/cold-brew-blend-dark-roast
Mooleh Manay Estate – CM Natural,875.0,INR,http://schema.org/OutOfStock,Light Roast,,,"Returning to our Producer Series after 2023, Komal Sable and Akshay Dashrath share their first experiment with carbonic maceration. Building on the clarity and consistency they achieved with anaerobic fermentation last season, the fifth-generation producers modified their drums to create a CO₂-rich, oxygen-free environment that allows for slower, more controlled fermentation within whole cherries. 
The process began by removing floaters to select only ripe, dense cherries, followed by a brief pre-drying phase to reduce surface moisture. The cherries were then sealed in drums, and a custom culture was introduced to extend the fermentation. Over 60 hours, this combination of carbonic maceration and yeast inoculation ensured thorough mucilage breakdown and the development of deep complexity. 
Post-fermentation, the cherries were dried on raised beds inside a polyhouse. Continuous raking over 7 to 10 days ensured even drying until a final moisture level of 11–12% was reached. 
Roasted light by Rishab from our team, this coffee offers a well-structured cup with notes of fermented red fruit and a bright, juicy sweetness. It opens with the aroma of mixed berries and carries a syrupy mouthfeel, with layered flavours of dried fig, plum, black grape, and mulberry. A chocolatey aftertaste marks the finish, adding further depth. 
We recommend brewing this expressive coffee black, as a Pour Over, or using an AeroPress.
Recommended Resting Period: 16 Days
Note: This coffee pack is a special release with limited availability and, therefore, cannot be included in subscription.",7314532401207,mooleh-manay-estate-cm-natural,/collections/roasted-and-ground-coffee-beans/products/mooleh-manay-estate-cm-natural
Vienna Roast,650.0,INR,http://schema.org/InStock,Dark Roast,,,"The second darkest of our roasts, this blend, with coffee beans from Karnataka and Tamil Nadu, has great body, low acidity, and is a favourite choice for coffee drinkers who enjoy a strong cup, with the characteristic bittersweet notes. The Vienna Roast is best enjoyed with milk. 
We recommend brewing this as an espresso or using manual brewing equipment such as Moka Pot, French Press, or South Indian filter. ",410190640,vienna-roast,/collections/roasted-and-ground-coffee-beans/products/vienna-roast
Amaltas Blend,650.0,INR,http://schema.org/InStock,Light Roast,,,"An ode to the vibrant burst of yellow that marks the beginning of Indian summers, this blend is our go-to choice for crafting a refreshing batch of coffee including cold brews. In fact, this was originally called the Cold Brew Blend but owing to its diversity (its flavours shine through in a Pour Over or Aeropress), we decided to rename it after one of our favourite neighbourhood trees. 
A blend of washed and natural processed coffees, we’ve roasted it light to accentuate fruity and refreshing citrus notes. The result? Balanced cups with notes of blueberry and milk chocolate, with each sip concluding with a chocolatey finish.  
This light and fruity favourite is best enjoyed black.",1718179725367,cold-brew-blend-light,/collections/roasted-and-ground-coffee-beans/products/cold-brew-blend-light
Portable Drip Bags,350.0,INR,http://schema.org/OutOfStock,,,,"Meet our new pack of portable drip bags that brew a fresh cup of your favourite coffee, anytime and anywhere, without equipment. Compatible with any ground coffee, these craft a delicious cup in four easy steps:
Simply anchor the bag onto a cup   
Add 11-13 gms (½ a bag) of any medium-fine ground coffee  
Pour hot water 2-3 times  
Wait for 2 minutes and enjoy delicious coffee!
",7099544993847,coffee-drip-bags,/products/coffee-drip-bags
Dhak Blend,450.0,INR,http://schema.org/InStock,,,,"Named after one of our favourite spring blossoms, the Dhak blend is roasted dark to bring out deep flavours of dark chocolate and fruit jam. Its heavy cocoa body leaves a smooth lingering aftertaste and makes for a bold, well-rounded cup of coffee. 

Contains some of our most-loved and highest scoring coffees.
Made using aluminium, that is 100% recyclable.
Keeps freshness and flavour intact.
Easy to use and perfect for quick, fuss-free brewing.
These Coffee capsules are compatible with any machine that works with Nespresso®️* Original Line Coffee pods.
We recommended using these for a single shot of espresso and espresso-style beverages.

Tastes great when used in milk-based beverages.
Disclaimer:- Blue Tokai Coffee Roasters is not affiliated with, endorsed, or sponsored by Nespresso®. Nespresso® is a registered trademark of Societe des Produits Nestlé S.A.",7175780204599,dhak-blend-aluminium-coffee-capsules,/collections/you-may-also-like-1/products/dhak-blend-aluminium-coffee-capsules
Silver Oak Cafe Blend,700.0,INR,http://schema.org/InStock,Medium Roast,,,"If our baristas have brewed you an espresso-based drink at any of our coffee shops, you’ll be familiar with this special offering since it’s our signature house blend! Our Silver Oak Cafe blend features a combination of Ground coffee beans, processed using either the washed or the unwashed method, to create and has a balanced profile that works well in espresso-based drinks as well as in manual brews such as AeroPress, Pour Over or in cold brews. This versatile medium roast is named after the Silver Oak trees commonly found across coffee plantations in Southern India. This offering is a small way of bringing our cafe experience to you.",4480736919607,silver-oak-cafe-blend,/collections/roasted-and-ground-coffee-beans/products/silver-oak-cafe-blend
Winter Blend,750.0,INR,http://schema.org/InStock,Medium Roast,,,"Meet the blend our roasters look forward to crafting each winter. Pairing well with milk, it is also a solid base for all those winter recipes you've been saving.
We've created it using a careful mix of natural and washed lots from St. Joseph Estate and Attikan Estate. Opening with the aroma of brown spices, this coffee has a medium body and a syrupy, round mouthfeel. You’ll be able to taste cinnamon, cacao, roasted almonds, and raisins, and tying everything together nicely is a chocolatey aftertaste.
We recommend brewing it as an espresso, or with a Moka Pot or French Press.
Recommended Resting Period: 10 Days",7204001185847,winter-blend-1,/collections/roasted-and-ground-coffee-beans/products/winter-blend-1
Baarbara Estate,700.0,INR,http://schema.org/InStock,Medium Dark Roast,,,"Coffee beans from Baarbara Estate, roasted medium-dark, have a wonderful aroma of sweet caramel and dried apricot. We love this coffee’s intense, chocolatey flavour profile. To taste the syrupy, smooth mouthfeel of this coffee, we recommend brewing it as a Pour Over, an Espresso or using an AeroPress, Moka Pot or a French Press. If you’ve enjoyed our coffees from Attikan Estate and Sandalwood Estate, you’ll appreciate the sweet aftertaste and medium acidity of this heavy bodied coffee. 
Recommended Resting Period: 8 Days",2601862596,baarbara-estate,/collections/roasted-and-ground-coffee-beans/products/baarbara-estate
Dhak Blend,650.0,INR,http://schema.org/InStock,Dark Roast,,,"Our Dhak Blend is an ode to one of our favorite Indian trees with its colorful flame-like flowers that signal the onset of Spring. The coffees used in this blend are naturally processed which means that the coffee beans are dried with the cherry, resulting in complex, fruity and sweet flavours.
Roasted dark to bring out flavours of dark chocolate and fruit jam, this blend's heavy cocoa body leaves a smooth lingering aftertaste.
Our roasting team recommends the Dhak Blend for espresso-based drinks as well as manual brews such as the Moka Pot and the French Press.",6547929530423,dhak-blend,/collections/roasted-and-ground-coffee-beans/products/dhak-blend
Basankhan Estate,700.0,INR,http://schema.org/InStock,Dark Roast,,,"We are thrilled to present our first ever single origin dark roast, with coffee beans sourced from a new partner farm— Estate in Chikmagalur, Karnataka. 
This coffee has a journey of rich, complex flavours that will leave you craving for more. As you take a sip, enjoy the velvety mouthfeel reminiscent of dark chocolate, which enhances the overall richness of this brew. The coffee’s body is heavy and round, creating a luscious and full-bodied experience that envelops your palate. If you’ve liked our dark roasts like Vienna and Dhak, you’ll love this one! The Basankhan Estate is a family-owned farm located in Chikmagalur, Karnataka with a rich history spanning over 100 years. In addition to coffee, the estate cultivates other crops such as black pepper, oranges, cardamom, lemons, and bananas.",6814187094071,basankhan-estate,/collections/roasted-and-ground-coffee-beans/products/basankhan-estate
