roaster,name,price,currency,description,product_url,image_url
Five Farms,Single origin coffees,"₹ 350.00 – ₹ 1,450.00 Price range: ₹350.00 through ₹1,450.00",₹,Experience the authentic taste of Coorg with our Single Origin Coffee. Sourced from Coorg’s lush landscapes and crafted with meticulous care.,https://fivefarms.in/product-category/specialty-coffee/single-origin-coffees/,"data:image/svg+xml;nitro-empty-id=NDc1OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,The Artists' blends,₹ 399.00 – ₹ 650.00 Price range: ₹399.00 through ₹650.00,₹,"Discover The Artist’s Blends, innovative coffees from Coorg. Master crafted with unique processing, each blend offers complex flavors. Artistry in every cup.",https://fivefarms.in/product-category/specialty-coffee/the-artists-blends/,"data:image/svg+xml;nitro-empty-id=NDc0OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 235.00,₹,"Explore a curated selection of premium spices, sourced from Malabar’s finest regions. Unmatched in quality and freshness. Transform your culinary creations.",https://fivefarms.in/product-category/spices/,"data:image/svg+xml;nitro-empty-id=NDc0OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 550.00 – ₹ 999.00 Price range: ₹550.00 through ₹999.00,₹,"Discover CHANUDIKAD Arabica Naturals, a sundried single-estate coffee from Coorg’s Western Ghats, offering bold floral notes and a smooth fruity finish.",https://fivefarms.in/product/chaundikad-arabica-naturals/,"data:image/svg+xml;nitro-empty-id=NTA3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 550.00 – ₹ 949.00 Price range: ₹550.00 through ₹949.00,₹,Tangerine by Crystal Valley Estate is an exquisite coffee crafted with meticulous attention to detail and a passion for innovation. Nestled in the lush Biligiri…,https://fivefarms.in/product/crystal-valley-tangerine/,"data:image/svg+xml;nitro-empty-id=NTA3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 499.00,₹,"Indulge in our classic single estate cold brew with smooth chocolate and caramel notes. Crafted for coffee connoisseurs seeking a rich, and premium flavor.",https://fivefarms.in/product/deyu-cold-brew-pouches-classic/,"data:image/svg+xml;nitro-empty-id=NTA4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 499.00,₹,"Savor the sweet harmony of De’-yu Cold Brew Coffee with organic cane sugar. Handcrafted to order, this bold, refreshing blend is perfect for any time of day.",https://fivefarms.in/product/deyu-cold-brew-pouches-jaggery-coffee/,"data:image/svg+xml;nitro-empty-id=NTA4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 499.00,₹,"Enjoy De’-yu Cold Brew’s fruity twist with sundried 100% Arabica. Naturally sweet and refreshing, this coffee brings superior flavor to every invigorating sip.",https://fivefarms.in/product/deyu-cold-brew-pouches-naturals/,"data:image/svg+xml;nitro-empty-id=NTA4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,₹ 449.00 – ₹ 799.00 Price range: ₹449.00 through ₹799.00,₹,"Discover Malakodu Estate Honey Coffee, crafted using a unique process that enhances sweetness and body. A syrupy mouthfeel with captivating flavors.",https://fivefarms.in/product/malakodu-honey-wash-aaa/,"data:image/svg+xml;nitro-empty-id=NTA3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,"₹ 1,000.00 Original price was: ₹1,000.00. ₹ 899.00 Current price is: ₹899.00.",₹,"Extra Bold Mysore Nuggets coffee beans from Coorg—handpicked, sundried, and deep roasted to perfection for a rich, robust flavor with heritage in every sip.",https://fivefarms.in/product/malhar-extra-bold-mysore-nuggets/,"data:image/svg+xml;nitro-empty-id=NTA3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
Five Farms,,,,"Pi – premium peaberry coffee from Coorg, custom roasted and blended on order. Rare beans with vibrant acidity, silky body, and fresh small-batch flavor.",https://fivefarms.in/product/pi-peaberry-coffee/,"data:image/svg+xml;nitro-empty-id=NTA3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg=="
